"name","class","id","disEntityType","entityType","uniqueName","parentOrganization","isFlagBearer","spatialRelationship","damageStateController","exercises","tspiSource","tacticalSymbols","isOutOfComms","tacticalSymbolColor","tacticalSymbolStandardCurrent","gatewayNetworkType","displayOrder","isExcludedFromFireEffects","isExcludedFromDetonationEffects","isRFOutOfComms","isVisible","isHiddenFromExercise","systemsUnderTestData","isReal","percentObscured","isFratricided","xroeViolation","isBDAComplete","instrumentationOverrideMode","urn","isTarget","fuelLevel","damageCode","mobilityKill","catastrophicKill","communicationsKill","sensorKill","firepowerKill","isPowerPlantOn","isMissionCapableSupply","isMissionCapableMaintenance","isCaptured","isLaserDesignatorOn","isTriggerDepressed","battlesightRange","currentRange"
"testtrp0011",,,"3.1.225.11.0.0.0","Person","testtrp0011",,,"@{baseEntity=; relationshipType=Attached; offsetDistance=0.0; offsetBearing=0.0}",,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-E----------; symbolStandard=MS2525B; displayRotation=0}

",,"0","0","Unknown","32767",,,,,,,,"0",,"False",,"None","0",,,,,,,,,,,,,,,,
"testveh0001",,,"1.1.225.1.1.2.0","LandPlatform","testveh0001",,,,"lt2.entity_damage_state_controller_puxml",,"lt2.tspi_source_puxml","@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVATM---US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0002",,,"1.1.225.6.1.251.0","LandPlatform","testveh0002",,,,"",,"lt2.tspi_source_puxml","@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVU-----US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,"None","0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0003",,,"1.1.222.1.1.1.0","LandPlatform","testveh0003",,,,"lt2.entity_damage_state_controller_puxml",,"lt2.tspi_source_puxml","@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVATM---US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0004",,,"1.1.222.1.1.1.0","LandPlatform","testveh0004",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVATM---US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0005",,,"1.1.222.2.2.0.0","LandPlatform","testveh0005",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVAI----US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0006",,,"1.1.222.14.3.0.0","LandPlatform","testveh0006",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-E-------US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0007",,,"1.1.225.6.1.254.0","LandPlatform","testveh0007",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVU-----US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0008",,,"1.1.225.7.12.8.0","LandPlatform","testveh0008",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVU-----US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0009",,,"1.1.205.9.4.0.0","LandPlatform","testveh0009",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG---------US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0010",,,"1.1.225.7.13.1.0","LandPlatform","testveh0010",,,,,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVU-----US-; symbolStandard=MS2525B; displayRotation=0}

",,"0","0",,"32767",,,,,,,,"0",,"False",,,"0",,"100","0",,,,,,,,,,,,"0","0"
"testveh0011",,,"1.1.225.7.12.8.0","LandPlatform","testveh0011",,,"@{baseEntity=; relationshipType=Attached; offsetDistance=0.0; offsetBearing=0.0}",,,,"@{class=ctia.data_model.TacticalSymbol; symbolCode=SFG-EVU--------; symbolStandard=MS2525B; displayRotation=0}

",,"0","0","Unknown","32767",,,,,,,,"0",,"False",,"None","0",,"100","0",,,,,,,,,,,,"0","0"
