"AlertObjectID","AlertID","EntityCaption","EntityDetailsUrl","RelatedNodeCaption","RelatedNodeDetailsUrl","TriggeredCount","LastTriggeredDateTime","AlertNote"
"2179","21","Memory Usage","/Orion/View.aspx?NetObject=AM:3603","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2180","21","Messages in Queues","/Orion/View.aspx?NetObject=AM:3604","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2181","21","Connections","/Orion/View.aspx?NetObject=AM:3605","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2182","21","Exchanges","/Orion/View.aspx?NetObject=AM:3606","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2183","21","Bindings","/Orion/View.aspx?NetObject=AM:3607","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2184","21","Channels","/Orion/View.aspx?NetObject=AM:3608","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2185","21","Consumers","/Orion/View.aspx?NetObject=AM:3609","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2186","21","RabbitMQ Health Check","/Orion/View.aspx?NetObject=AM:3610","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2187","11","CTC-IS CTIA4 Playback RabbitMQ","/Orion/View.aspx?NetObject=AA:54","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:43 PM","Known Issue. SAM License overage."
"2188","11","CTC-IS CTIA4 RabbitMQ (1)","/Orion/View.aspx?NetObject=AA:55","S-LCTIA4-101","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:26","3","4/17/2023 4:52:43 PM","Known Issue. SAM License overage."
"2189","21","Memory Usage","/Orion/View.aspx?NetObject=AM:3593","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2190","21","Messages in Queues","/Orion/View.aspx?NetObject=AM:3594","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2191","21","Connections","/Orion/View.aspx?NetObject=AM:3595","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2192","21","Exchanges","/Orion/View.aspx?NetObject=AM:3596","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2193","21","Bindings","/Orion/View.aspx?NetObject=AM:3597","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2194","21","Channels","/Orion/View.aspx?NetObject=AM:3598","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"2195","21","Consumers","/Orion/View.aspx?NetObject=AM:3599","S-LCTIA4-105","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:30","3","4/17/2023 4:52:45 PM","Known Issue. SAM License overage."
"10023","264","INVERTER MAJOR ALARM","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","CS045-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","6","5/15/2023 11:05:56 AM","Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  Waiting on network module.  12 Jan. 2023"
"10024","264","INVERTER MAJOR ALARM","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","CS046-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","2","2/27/2023 4:16:20 PM","Outside Plant is tracking. 10 Jan. 2023
Edwin notified and advised to disable alarm until he can access the network module to reset  27 FEB 2023"
"10025","265","INVERTER MINOR ALARM","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","CS045-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","7","5/17/2023 4:30:51 AM","Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  Waiting on network module.  12 Jan. 2023"
"10026","265","INVERTER MINOR ALARM","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","CS046-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","10","5/17/2023 5:51:02 AM","Outside Plant is tracking. 10 Jan. 2023
Edwin notified and advised to disable alarm until he can access the network module to reset  27 FEB 2023"
"10030","266","INVERTER AC INPUT PWR FAIL","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","CS045-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","7","5/17/2023 4:30:49 AM","Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  10 Jan. 2023
Outside Plant is tracking.  Waiting on network module.  12 Jan. 2023"
"10031","266","INVERTER AC INPUT PWR FAIL","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","CS046-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:161","8","5/17/2023 5:51:00 AM","Outside Plant is tracking. 10 Jan. 2023
Edwin notified and advised to disable alarm until he can access the network module to reset  27 FEB 2023"
"10324","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:149","CSE32-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:149","8","4/9/2023 4:23:40 PM","Outside plant is tracking.  False positive alert.  Will continue to monitor."
"10325","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:129","CSE01-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:129","9","5/15/2023 3:50:37 PM","Outside plant is tracking.  False positive alert.  Will continue to monitor.  12 Jan. 2023

False positive alert. Will continue to monitor."
"11062","265","Inverter Minor Alarm","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:129","CSE01-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:129","10","5/17/2023 2:50:41 PM","notified outside plant 01/17/2023"
"11673","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:114","CS015-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:114","3","4/2/2023 5:07:38 AM","False positive alert. Will continue to monitor.
False positive alert. Will continue to monitor.
False positive alert. Will continue to monitor."
"11675","173","AC Surge Arrestor","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:105","CSE34-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:105","1","1/21/2023 10:25:32 PM","False positive alert. Will continue to monitor.
False positive alert. Will continue to monitor."
"11676","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:105","CSE34-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:105","2","3/12/2023 11:51:29 AM","False positive alert. Will continue to monitor.
False positive alert. Will continue to monitor."
"14425","264","INVERTER MAJOR ALARM","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:114","CS015-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:114","3","5/16/2023 1:05:27 PM",""
"23008","245","Rack #3 DC Power B","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:141","CS07A-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:141","5","5/5/2023 3:20:25 PM",""
"27392","81","GigabitEthernet1/0/3 - Gi1/0/3","/Orion/View.aspx?NetObject=I:1087","1560_OPERATIONS.is-u.jrtc.army.mil","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:254","1","5/10/2023 1:09:36 PM",""
"27393","81","GigabitEthernet1/0/14 - Gi1/0/14","/Orion/View.aspx?NetObject=I:1095","1560_OPERATIONS.is-u.jrtc.army.mil","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:254","1","5/10/2023 1:10:36 PM",""
"28428","81","GigabitEthernet1/0/22 - Gi1/0/22","/Orion/View.aspx?NetObject=I:1372","8213_OC_ACADEMY.is-u.jrtc.army.mil","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:268","1","5/17/2023 3:13:08 PM",""
